_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,ID,NAME,UNIT,PHONE,EMAIL,RENTAL,OBJECTID,geometry
32,991045,555,Burnhamthorpe Rd,555 Burnhamthorpe Rd,M9C 2Y3,Etobicoke,Toronto,Etobicoke Centre (2),None,115001,911713,555,None,,None,1266,39,Daial Cycle and Sports,107,416-620-6900,None,NO,32,"{'type': 'Point', 'coordinates': (-79.5680233623331, 43.6446436057859)}"
36,8731121,3876,Bloor St W,3876 Bloor St W,M9B 1L3,Etobicoke,Toronto,Etobicoke Centre (2),None,115001,8731116,3876,None,,None,458,44,Duke's Sports,None,416-233-2011,Dukes@SourceForSports.ca ,NO,36,"{'type': 'Point', 'coordinates': (-79.5418155438418, 43.6407085361356)}"
65,7257513,4231,Dundas St W,4231 Dundas St W,M8X 1Y3,Etobicoke,Toronto,Etobicoke-Lakeshore (3),None,115001,7257489,4231,None,,None,558,23,Chain Reaction Bicycles Inc.,None,416-234-5300,crbicycles@yahoo.com,NO,65,"{'type': 'Point', 'coordinates': (-79.5127473165703, 43.6594935469504)}"
94,3327188,25,The West Mall,25 The West Mall,M9C 1B8,Etobicoke,Toronto,Etobicoke-Lakeshore (3),None,115001,3327190,25,None,,None,2604,82,Sporting Life Sherway Gardens,None,416 620-7750,None,NO,94,"{'type': 'Point', 'coordinates': (-79.5572070090418, 43.6119471075698)}"
1,14037509,400,King St W,400 King St W,M5V 1K2,former Toronto,Toronto,Spadina-Fort York (10),None,115001,10222696,400,None,,None,3780,65,Mountain Equipment Co-op,None,416-340-2667,None,NO,1,"{'type': 'Point', 'coordinates': (-79.3931879530325, 43.6460935080344)}"
2,10576060,882,College St,882 College St,M6H 1A3,former Toronto,Toronto,Davenport (9),None,115001,10576046,882,None,,None,9765,66,My Little Bike Shop,None,647-967-0122,onetimetwotime@hotmail.com,NO,2,"{'type': 'Point', 'coordinates': (-79.4247621722951, 43.65414805253461)}"
4,8407969,1292,Queen St E,1292 Queen St E,M4L 1C4,former Toronto,Toronto,Toronto-Danforth (14),None,115001,14171607,1292,None,,None,4237,69,Polly's Recycle,None,416-461-4312,zombie@cycleszombie.com,NO,4,"{'type': 'Point', 'coordinates': (-79.3285553433088, 43.663905088206704)}"
6,10430606,29,Barton Ave,29 Barton Ave,M6G 1P2,former Toronto,Toronto,University-Rosedale (11),None,115001,14011886,29,None,,None,2954,2,Bateman's Bicycle Company,None,416-528-2453,info@batemanbikeco.com,YES,6,"{'type': 'Point', 'coordinates': (-79.4126316143043, 43.6679561549222)}"
7,11165051,913,Bathurst St,913 Bathurst St,M5R 3G4,former Toronto,Toronto,University-Rosedale (11),None,115001,11165038,913,None,,None,436,3,Bateman's Bicycle Company,None,416-538-2453,info@batemanbikeco.com,YES,7,"{'type': 'Point', 'coordinates': (-79.4124968776461, 43.6693023900864)}"
8,856078,1882,Queen St E,1882 Queen St E,M4L 1H2,former Toronto,Toronto,Beaches-East York (19),None,115001,1142152,1882,None,,None,4237,4,Beach Toyz,None,416-464-8920,john@beachtoyz.ca ,YES,8,"{'type': 'Point', 'coordinates': (-79.3061011472529, 43.6688365653305)}"
10,8106085,563,Spadina Cres,563 Spadina Cres,M5S 2J7,former Toronto,Toronto,University-Rosedale (11),None,115001,8106036,563,None,,None,4427,8,Bike Chain U of T ,None,416-978-6849,bikechain@utoronto.ca  bikechainuoft@gmail.com ,NO,10,"{'type': 'Point', 'coordinates': (-79.4000616727216, 43.6604175239283)}"
11,773314,1292,Bloor St W,1292 Bloor St W,M6H 1N9,former Toronto,Toronto,Davenport (9),None,115001,1144172,1292,None,,None,458,10,Bike Pirates ,None,416-555-5555,info@bikepirates.com  volunteer@bikepirates.com ,NO,11,"{'type': 'Point', 'coordinates': (-79.4421046759939, 43.6586410133513)}"
12,10558074,3096,Dundas St W,3096 Dundas St W,M6P 1Z8,former Toronto,Toronto,Parkdale-High Park (4),None,115001,10558060,3096,None,,None,558,11,Bike Place,None,416-766-1085,bikeplace@yahoo.ca ,NO,12,"{'type': 'Point', 'coordinates': (-79.4729895932567, 43.6657532101948)}"
13,776360,235,Broadview Ave,235 Broadview Ave,M4M 2G3,former Toronto,Toronto,Toronto-Danforth (14),None,115001,1143632,235,None,,None,44,12,Bike Sauce ,None,647-724-7880,info@bikesauce  volunteer@bikesauce.org donate@bikesauce.org,NO,13,"{'type': 'Point', 'coordinates': (-79.3509460737049, 43.6623436085571)}"
14,10494142,1970,Yonge St,1970 Yonge St,M4S 1Z7,former Toronto,Toronto,Toronto-St. Paul's (12),None,115001,10494141,1970,None,,None,4733,13,Biketoons ,None,416-587-7204,biketoons@gmail.com,NO,14,"{'type': 'Point', 'coordinates': (-79.3972433080103, 43.6997980406857)}"
15,765187,309,Augusta Ave,309 Augusta Ave,M5T 2M2,former Toronto,Toronto,University-Rosedale (11),None,115001,1144464,309,None,,None,2918,16,Bike On Wheels,None,416-966-2453,queenstreet@bikesonwheels.ca,NO,15,"{'type': 'Point', 'coordinates': (-79.4024947559996, 43.6567603882815)}"
16,14037665,388,Carlaw Ave,388 Carlaw Ave,M4M 2T4,former Toronto,Toronto,Toronto-Danforth (14),None,115001,7576988,388,None,,None,56,17,Biseagal,102-E,416-466-2212,biseagal.info@gmail.com ,NO,16,"{'type': 'Point', 'coordinates': (-79.3422776072737, 43.6657286229205)}"
17,9446130,345,Sorauren Ave,345 Sorauren Ave,M6R 2G5,former Toronto,Toronto,Parkdale-High Park (4),None,115001,9446120,345,None,,None,4419,18,Blacksmith Cycles,"Buzzer #4, 2nd Floor",416-853-9852  ,info@blacksmithcycle.com,NO,17,"{'type': 'Point', 'coordinates': (-79.4440726168771, 43.6494592424783)}"
18,7569328,701,Danforth Ave,701 Danforth Ave,M4J 1L2,former Toronto,Toronto,Toronto-Danforth (14),None,115001,14025108,701,None,,None,86,20,Broom Wagon Cyclery,None,647-352-6200,broomwagoncyclery@gmail.com ,NO,18,"{'type': 'Point', 'coordinates': (-79.34356888626391, 43.6789400397176)}"
19,10341122,2447,Bloor St W,2447 Bloor St W,M6S 1P7,former Toronto,Toronto,Parkdale-High Park (4),None,115001,10250316,2447,None,,None,458,21,Brown's Sport & Cycle,None,416-763-4176,info@brownssports.com ,NO,19,"{'type': 'Point', 'coordinates': (-79.4843516070797, 43.6490611111053)}"
20,3809146,2,Third St,2 Third St,M5J 2A9,former Toronto,Toronto,Spadina-Fort York (10),None,115001,3809145,2,None,,None,9788,22,Cappel's Custom Carts,None,416-804-0571,mandrasca@gmail.com or butze@rogers.com ,NO,20,"{'type': 'Point', 'coordinates': (-79.3539875189245, 43.632051081904905)}"
21,5573726,106,Harbord St,106 Harbord St,M5S 1G6,former Toronto,Toronto,University-Rosedale (11),None,115001,5573735,106,None,,None,3605,25,Chilango Cycles,None,416-871-0863,chilangocycles@gmail.com ,NO,21,"{'type': 'Point', 'coordinates': (-79.4036646228756, 43.6629999157868)}"
22,11046952,1,Howland Rd,1 Howland Rd,M4K 2Z4,former Toronto,Toronto,Toronto-Danforth (14),None,115001,14023458,1,None,,None,3705,26,Cogs Cycle,None,416-465-7677,cogscycle@bellnet.ca,NO,22,"{'type': 'Point', 'coordinates': (-79.3467804158952, 43.666848221065905)}"
23,14187083,761,Queen St W,761 Queen St W,M6J 1G1,former Toronto,Toronto,Spadina-Fort York (10),None,115001,1146191,761,None,,None,4238,27,Community Bicycle Network,101,416-504-2918 ,info@communitybicyclenetwork.org,NO,23,"{'type': 'Point', 'coordinates': (-79.4076437488479, 43.6462679364894)}"
25,10576723,926,College St,926 College St,M6H 1A4,former Toronto,Toronto,Davenport (9),None,115001,10576713,926,None,,None,9765,30,Cycle Couture,None,647-342-1037,info@cyclecouture.ca,NO,25,"{'type': 'Point', 'coordinates': (-79.4258192957203, 43.6539538010587)}"
26,11048077,281,Danforth Ave,281 Danforth Ave,M4K 1N2,former Toronto,Toronto,Toronto-Danforth (14),None,115001,11048060,281,None,,None,86,31,Cyclemania,None,416-466-0330,lubomirhoferica@gmail.com,NO,26,"{'type': 'Point', 'coordinates': (-79.3544436409062, 43.67685820474271)}"
27,773046,863,Bloor St W,863 Bloor St W,M6G 1M4,former Toronto,Toronto,University-Rosedale (11),None,115001,1143576,863,None,,None,458,32,Cyclemania,None,416-533-0080,lubomirhoferica@gmail.com,NO,27,"{'type': 'Point', 'coordinates': (-79.4245813428732, 43.66196519074641)}"
28,14209891,1510,Danforth Ave,1510 Danforth Ave,M4J 1N4,former Toronto,Toronto,Toronto-Danforth (14),None,115001,7940321,1510,None,,None,86,34,Cyclepath,None,416-463-5346,support@cyclepath.ca,YES,28,"{'type': 'Point', 'coordinates': (-79.3251840076452, 43.68319665770291)}"
29,789357,120,D'Arcy St,120 D'Arcy St,M5T 1K3,former Toronto,Toronto,University-Rosedale (11),None,115001,14020864,120,None,,None,3262,36,Cyclopedia,None,416-268-5667,Cyclopedia@acanac.net ,NO,29,"{'type': 'Point', 'coordinates': (-79.3969308299005, 43.6543981699096)}"
30,9980656,444,Parliament St,444 Parliament St,M5A 3A2,former Toronto,Toronto,Toronto Centre (13),None,115001,14023933,444,None,,None,4162,37,Cycle Solutions,None,416-972-6948,downtown@cycle-solutions.com ,NO,30,"{'type': 'Point', 'coordinates': (-79.368009235839, 43.6633148913967)}"
31,14208468,615,Kingston Rd,615 Kingston Rd,M4E 1R3,former Toronto,Toronto,Beaches-East York (19),None,115001,20035842,615,None,,None,3786,38,Cycle Solutions,None,416-691-0019,beaches@cycle-solutions.com ,NO,31,"{'type': 'Point', 'coordinates': (-79.2984518134392, 43.6785178029893)}"
33,782701,254,Christie St,254 Christie St,M6G 3B8,former Toronto,Toronto,University-Rosedale (11),None,115001,14012374,254,None,,None,3165,40,Dave Fix My Bike,None,416-944-2453,davidlavin777@gmail.com,NO,33,"{'type': 'Point', 'coordinates': (-79.4213823543453, 43.6705840647841)}"
35,30043278,625,Queen St W,625 Queen St W,M5V 2B7,former Toronto,Toronto,Spadina-Fort York (10),None,115001,10475569,625,None,,None,4238,43,Duke's Cycle,None,416-504-6138,info@dukescycle.ca ,NO,35,"{'type': 'Point', 'coordinates': (-79.402921675097, 43.6472407892608)}"
37,7986312,521,Annette St,521 Annette St,M6P 1S1,former Toronto,Toronto,Parkdale-High Park (4),None,115001,7986289,521,None,,None,2890,46,Espresso Cycles ,None,647-344-2669,victor@expressocycles.ca ,NO,37,"{'type': 'Point', 'coordinates': (-79.47969262747, 43.6599124657593)}"
38,8351143,47,Front St E,47 Front St E,M5E 1B3,former Toronto,Toronto,Toronto Centre (13),None,115001,14254949,47,None,,None,3471,47,Europe Bound,None,416-601-1990,europeboundsales@gmail.com,NO,38,"{'type': 'Point', 'coordinates': (-79.3743639100951, 43.6479229532579)}"
39,7940146,1374,Danforth Ave,1374 Danforth Ave,M4J 1M9,former Toronto,Toronto,Toronto-Danforth (14),None,115001,11272165,1374,None,,None,86,49,Ezriders (Electric Bicycles),None,416 461 8989 ,greg@eziders.ca,NO,39,"{'type': 'Point', 'coordinates': (-79.3283544299443, 43.6826044055753)}"
40,8416900,678,Bloor St W,678 Bloor St W,M6G 1L2,former Toronto,Toronto,University-Rosedale (11),None,115001,8416891,678,None,,None,458,51,Gallant Bicycles ,None,416-572-2593,tony@gallantbicycles.com ,NO,40,"{'type': 'Point', 'coordinates': (-79.4167066643811, 43.664120892097)}"
41,9340558,1073,College St,1073 College St,M6H 1B2,former Toronto,Toronto,Davenport (9),None,115001,9340552,1073,None,,None,9765,55,Hoopdriver Bicycles ,None,647-344-9120,info@hoopdriver.ca,NO,41,"{'type': 'Point', 'coordinates': (-79.43148557299402, 43.6526241826748)}"
43,790920,1144,Davenport Rd,1144 Davenport Rd,M6G 2C6,former Toronto,Toronto,Davenport (9),None,115001,1141385,1144,None,,None,3269,57,L & J Cycle,None,416-656-5293,None,NO,43,"{'type': 'Point', 'coordinates': (-79.4312259481997, 43.6748742407581)}"
45,8312916,1611,Dupont St,1611 Dupont St,M6P 3S8,former Toronto,Toronto,Davenport (9),None,115001,8312902,1611,None,,None,3343,59,La Carrera Cycles,None,416-538-1203,None,NO,45,"{'type': 'Point', 'coordinates': (-79.4547052616924, 43.6647141280309)}"
46,7552950,127,Ossington Ave,127 Ossington Ave,M6J 2Z6,former Toronto,Toronto,Spadina-Fort York (10),None,115001,14018171,127,None,,None,4125,87,The Pedal Stop,None,647-352-3240,None,NO,46,"{'type': 'Point', 'coordinates': (-79.4195670531831, 43.6470940556123)}"
47,9468254,290,Harbord St,290 Harbord St,None,former Toronto,Toronto,University-Rosedale (11),None,115001,14019957,290,None,,None,3605,88,The Bike Joint,None,416-532-6392,service@thebikejoint.com ,NO,47,"{'type': 'Point', 'coordinates': (-79.4150682629012, 43.660556964412)}"
48,30058592,355,Lakeshore Ave,355 Lakeshore Ave,None,former Toronto,Toronto,Spadina-Fort York (10),TORONTO ISLAND BICYCLE RENTAL,115001,1147814,355,None,,None,3802,89,Toronto Island Bicycle Rental,None,416-203-0009,None,YES,48,"{'type': 'Point', 'coordinates': (-79.3717621920775, 43.6171430031078)}"
49,7274879,2063,Yonge St,2063 Yonge St,M4S 2A2,former Toronto,Toronto,Toronto-St. Paul's (12),None,115001,7274839,2063,None,,None,4733,90,Trek Bicycle Store of Toronto,None,416-481-8735,info@trektoronto.ca,NO,49,"{'type': 'Point', 'coordinates': (-79.39705113388501, 43.7022743090734)}"
50,8041184,180,John St,180 John St,M5T 1X5,former Toronto,Toronto,Spadina-Fort York (10),None,115001,14676282,180,None,,None,9747,91,Urbane Cyclist,None,416-979-9733,ucycle@ucycle.com ,NO,50,"{'type': 'Point', 'coordinates': (-79.3917526706008, 43.6506840776183)}"
51,8417250,1592,Queen St E,1592 Queen St E,M4L 1G1,former Toronto,Toronto,Toronto-Danforth (14),None,115001,8417235,1592,None,,None,4237,92,Velotique,None,416-466-3171,saul@velotique.com ,NO,51,"{'type': 'Point', 'coordinates': (-79.3179117708934, 43.666214646834)}"
52,8594853,1040,Eglinton Ave W,1040 Eglinton Ave W,M6C 2C5,former Toronto,Toronto,Eglinton-Lawrence (8),None,115001,8594649,1040,None,,None,571,93,Vitess,None,416-503-8987,testdrive@vitess.com ,NO,52,"{'type': 'Point', 'coordinates': (-79.430306287802, 43.7001756243466)}"
53,855697,890,Queen St E,890 Queen St E,M4M 1J3,former Toronto,Toronto,Toronto-Danforth (14),None,115001,1143652,890,None,,None,4237,94,Warren Cycle Works,None,416-466-6958,None,NO,53,"{'type': 'Point', 'coordinates': (-79.3432803969243, 43.66054249415)}"
54,860888,213,Roncesvalles Ave,213 Roncesvalles Ave,M6R 2L6,former Toronto,Toronto,Parkdale-High Park (4),None,115001,1146413,213,None,,None,4310,95,West Side Cycle,None,416-531-4648,westsidecycle@rogers.com,NO,54,"{'type': 'Point', 'coordinates': (-79.4485388588516, 43.6456469756006)}"
55,13970096,249,Queens Quay W,249 Queens Quay W,M5J 2N5,former Toronto,Toronto,Spadina-Fort York (10),None,115001,13969944,249,None,,None,4244,96,Wheels Excitement Inc.,106,416-260-9000,info@wheelexcitment.com ,YES ,55,"{'type': 'Point', 'coordinates': (-79.385711226166, 43.6386500092456)}"
56,10250097,2007,Bloor St W,2007 Bloor St W,M6S 1M5,former Toronto,Toronto,Parkdale-High Park (4),None,115001,10250099,2007,None,,None,458,97,Wheels of Bloor,None,416-762-9119,wheelsofbloor@bellnet.ca ,NO,56,"{'type': 'Point', 'coordinates': (-79.4719164437737, 43.6518225824869)}"
58,14228197,625,St Clair Ave W,625 St Clair Ave W,M6C 1A7,former Toronto,Toronto,Toronto-St. Paul's (12),None,115001,1140115,625,None,,None,890,7,Bicycle at St.Clair Inc.,None,416-654-6187,bicyclesatstclair@gmail.com ,NO,58,"{'type': 'Point', 'coordinates': (-79.4235981436393, 43.6818398277081)}"
60,773263,1222,Bloor St W,1222 Bloor St W,M6H 1N3,former Toronto,Toronto,Davenport (9),None,115001,1144052,1222,None,,None,458,19,Broadway Cycle,None,416-531-1028,broadwaycycle@rogers.com ,NO,60,"{'type': 'Point', 'coordinates': (-79.4392299837325, 43.6593018854478)}"
61,887911,2106,Yonge St,2106 Yonge St,M4S 2A5,former Toronto,Toronto,Toronto-St. Paul's (12),None,115001,1138594,2106,None,,None,4733,35,Cyclepath,None,416-487-1717,mike@cyclepathtoronto.com ,YES,61,"{'type': 'Point', 'coordinates': (-79.3979266196434, 43.7027459240775)}"
62,14244599,383,King St W,383 King St W,M5V 1K1,former Toronto,Toronto,Spadina-Fort York (10),None,115001,10222696,383,None,,None,3780,48,Europe Bound,None,416-205-9992,europeboundsales@gmail.com,NO,62,"{'type': 'Point', 'coordinates': (-79.3933428134042, 43.64564439436351)}"
63,797220,2170,Dundas St W,2170 Dundas St W,M6R 1X3,former Toronto,Toronto,Parkdale-High Park (4),None,115001,1145060,2170,None,,None,558,64,Mojo Cycles,None,416-649-7696,sales@mojocycles.ca ,NO,63,"{'type': 'Point', 'coordinates': (-79.4504554461443, 43.6534189955949)}"
70,856764,779,Queen St W,779 Queen St W,M6J 1G1,former Toronto,Toronto,Spadina-Fort York (10),None,115001,1146191,779,None,,None,4238,15,Bikes On Wheels,None,647-352-6550,queenstreet@bikesonwheels.ca,NO,70,"{'type': 'Point', 'coordinates': (-79.4081570301724, 43.6462028290657)}"
71,11273005,242,Queen St E,242 Queen St E,M5A 1S3,former Toronto,Toronto,Toronto Centre (13),None,115001,20006094,242,None,,None,4237,24,Charlie's Bike Joint ,None,416-546-2200,charlies@thebikejoint.com ,NO,71,"{'type': 'Point', 'coordinates': (-79.368591703594, 43.6549853025288)}"
72,8457257,156,Bathurst St,156 Bathurst St,M5V 2R3,former Toronto,Toronto,Spadina-Fort York (10),None,115001,8457245,156,None,,None,436,33,Cyclemotive,None,416-916-5551,info@cyclemotive.com ,NO,72,"{'type': 'Point', 'coordinates': (-79.40394267452241, 43.6460593762518)}"
74,10222716,401,King St W,401 King St W,M5V 1K1,former Toronto,Toronto,Spadina-Fort York (10),None,115001,10222712,401,None,,None,3780,54,Hogtown Extreme Sports,None,416-598-4192,hogtown1@yahoo.ca,NO,74,"{'type': 'Point', 'coordinates': (-79.3939713605904, 43.6454655007908)}"
75,14207115,5,Oxford St,5 Oxford St,M5T 1N8,former Toronto,Toronto,University-Rosedale (11),None,115001,14021256,5,None,,None,9778,63,Mike the Bike,None,647-344-3570 or 416-595-5596,info@mikethebike.ca ,NO,75,"{'type': 'Point', 'coordinates': (-79.3999979140654, 43.6565284268282)}"
76,8353585,610,Markham St,610 Markham St,M6G 2L8,former Toronto,Toronto,University-Rosedale (11),None,115001,8353557,610,None,,None,3927,60,Lapierre Toronto,None,416-537-7139,None,NO,76,"{'type': 'Point', 'coordinates': (-79.4124544457479, 43.6643521275298)}"
77,14670935,171,East Liberty St,171 East Liberty St,M6K 3P6,former Toronto,Toronto,Spadina-Fort York (10),None,115001,30015173,171,None,,None,9318,61,Liberty Street Cyclery,125,416-516-8880,info@libertycyclery.com ,NO,77,"{'type': 'Point', 'coordinates': (-79.4177958772706, 43.6383245762657)}"
78,870810,74,Springhurst Ave,74 Springhurst Ave,M6K 1B8,former Toronto,Toronto,Parkdale-High Park (4),None,115001,14036343,74,None,,None,4434,62,MetroCycleTO,None,647-771-1650,info@metrocycleto.com ,NO,78,"{'type': 'Point', 'coordinates': (-79.4326358890986, 43.6338460234004)}"
79,7807900,594,Dundas St W,594 Dundas St W,M5T 1H5,former Toronto,Toronto,University-Rosedale (11),None,115001,7807888,594,None,,None,558,9,Bike House ,None,416-839-6401,bikehouse.ca@hotmail.com,NO,79,"{'type': 'Point', 'coordinates': (-79.4008887031784, 43.6524239190124)}"
80,772806,412,Bloor St W,412 Bloor St W,M5S 1X5,former Toronto,Toronto,University-Rosedale (11),None,115001,1142919,412,None,,None,458,28,Curbside Cycle,None,416-920-4933 or 1-(866)-920-4933,info@curbside.on.ca info@curbside.on.ca ,YES,80,"{'type': 'Point', 'coordinates': (-79.4080855799513, 43.6659795334904)}"
81,3735246,650,Queen St W,650 Queen St W,M6J 1E4,former Toronto,Toronto,Spadina-Fort York (10),None,115001,3735230,650,None,,None,4238,53,Giant Toronto ,None,416-703-9990,info@gianttoronto.com ,NO,81,"{'type': 'Point', 'coordinates': (-79.4064423087457, 43.6469461216479)}"
82,14210810,2128,Bloor St W,2128 Bloor St W,M6S 1M8,former Toronto,Toronto,Parkdale-High Park (4),None,115001,10250099,2128,None,,None,458,70,Popawheelie (Toronto's Family Bike Shop) ,None,416-769-0606,info@popawheelie.ca ,NO,82,"{'type': 'Point', 'coordinates': (-79.4724153177453, 43.6522287192393)}"
83,10257814,2214,Bloor St W,2214 Bloor St W,M6S 1N4,former Toronto,Toronto,Parkdale-High Park (4),None,115001,10257806,2214,None,,None,458,71,Racer Sportif,None,416-769-5731,info@racersportif.com ,NO,83,"{'type': 'Point', 'coordinates': (-79.4760578640684, 43.6514336940135)}"
84,7853541,19,Kensington Ave,19 Kensington Ave,M5T 2J8,former Toronto,Toronto,University-Rosedale (11),None,115001,7853494,19,None,,None,9813,72,Red Arrow Bikes,None,416-464-4243,None,NO,84,"{'type': 'Point', 'coordinates': (-79.399850632537, 43.6531314390773)}"
85,14258504,33,Lombard St,33 Lombard St,M5C 3H8,former Toronto,Toronto,Toronto Centre (13),None,115001,14036956,33,None,,None,3866,73,Regal Bicycles Inc.,1506,416-768-5416,info@regalbicycles.com ,NO,85,"{'type': 'Point', 'coordinates': (-79.3757537264788, 43.6515206961289)}"
86,30058593,778,Dundas St W,778 Dundas St W,M6J 1V1,former Toronto,Toronto,University-Rosedale (11),None,115001,1145172,778,None,,None,558,74,Ride Away Bikes ,None,647-352-7433,info@rideawaybikes.ca,NO,86,"{'type': 'Point', 'coordinates': (-79.4077282853648, 43.6521725745563)}"
87,807922,80,Geary Ave,80 Geary Ave,M6H 2B5,former Toronto,Toronto,Davenport (9),None,115001,1142078,80,None,,None,3490,75,Riders Cycle & Board,None,647-349-5649,None,NO,87,"{'type': 'Point', 'coordinates': (-79.4330896807337, 43.6709816435424)}"
89,14207403,381,Roncesvalles Ave,381 Roncesvalles Ave,M6R 2M8,former Toronto,Toronto,Parkdale-High Park (4),None,115001,8030731,381,None,,None,4310,77,Set Me Free (Recycle Bike Co.),None,416-532-4147,None,YES,89,"{'type': 'Point', 'coordinates': (-79.4503493486214, 43.6502769622539)}"
93,8608627,2454,Yonge St,2454 Yonge St,M4P 2H5,former Toronto,Toronto,Eglinton-Lawrence (8),None,115001,8608622,2454,None,,None,4733,81,Sporting Life Bikes and Boards,None,416-485-4440,david.reynolds@sportinglife.ca,NO,93,"{'type': 'Point', 'coordinates': (-79.39957004984491, 43.711022527592)}"
95,8566216,2665,Yonge St,2665 Yonge St,M4P 2J6,former Toronto,Toronto,Don Valley West (15),None,115001,8566211,2665,None,,None,4733,83,Sporting Life Store Yonge St. Store,None,416-485-1611,None,NO,95,"{'type': 'Point', 'coordinates': (-79.399923320099, 43.7163635823773)}"
96,773250,1204,Bloor St W,1204 Bloor St W,M6H 1N2,former Toronto,Toronto,Davenport (9),None,115001,1144031,1204,None,,None,458,84,Sweet Pete's Bike Shop,None,416 533-4481,info@sweetpetes.com ,YES,96,"{'type': 'Point', 'coordinates': (-79.4383871175364, 43.659434456171)}"
97,10736618,517,Bloor St W,517 Bloor St W,M5S 1Y4,former Toronto,Toronto,University-Rosedale (11),None,115001,10736609,517,None,,None,458,85,Sweet Pete's Bike Shop,None,416 533-4225,info@sweetpetes.com ,NO,97,"{'type': 'Point', 'coordinates': (-79.4089251290076, 43.6653899608137)}"
98,8292619,651,Queen St E,651 Queen St E,M4M 1G4,former Toronto,Toronto,Toronto-Danforth (14),None,115001,8292593,651,None,,None,4237,86,Switchback Cyclery,None,416-466-6776,propel@switchbackcyclery.ca ,NO,98,"{'type': 'Point', 'coordinates': (-79.3520370507721, 43.6581982956325)}"
